syllable,token,kanji_code,slot,rom_offset,verdict,source_document,source_table
가,A0 17,17A0,378,0x02F40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
감,E0 17,17E0,382,0x02FC0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
게,00 20,2000,512,0x04000,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
계,70 20,2070,519,0x040E0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
곡,80 E5,E580,3672,0x1CB00,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
과,B0 20,20B0,523,0x04160,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
그,50 21,2150,533,0x042A0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
기,B0 21,21B0,539,0x04360,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
나,B0 24,24B0,587,0x04960,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
노,C0 E5,E5C0,3676,0x1CB80,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
독,D0 E5,E5D0,3677,0x1CBA0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
래,30 31,3130,787,0x06260,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
력,E0 E5,E5E0,3678,0x1CBC0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
로,D0 31,31D0,797,0x063A0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
를,50 34,3450,837,0x068A0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
리,70 34,3470,839,0x068E0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
마,B0 34,34B0,843,0x06960,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
머,10 E6,E610,3681,0x1CC20,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
메,20 E6,E620,3682,0x1CC40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
모,A0 35,35A0,858,0x06B40,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
무,00 36,3600,864,0x06C00,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
미,50 39,3950,917,0x072A0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
부,00 3C,3C00,960,0x07800,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
브,30 E6,E630,3683,0x1CC60,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
사,E0 3C,3CE0,974,0x079C0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
서,50 3D,3D50,981,0x07AA0,OK,Gameover/Valis_gameover_staffroll_translation_hangul_token_reassigned_UPDATED_TRANSLATION_2026-06-21.docx,1
